Thread ID: 2221388780
Total: 0.018387

 %self     total     self     wait    child    calls  name
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint#initialize
  0.02      0.00     0.00     0.00     0.00        1  HashWithIndifferentAccess#merge
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#configurations
  0.02      0.00     0.00     0.00     0.00        1  <Module::Rails>#backtrace_cleaner
  0.02      0.00     0.00     0.00     0.00        2  Exception#to_s
  0.02      0.00     0.00     0.00     0.00        1  Regexp#initialize
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#loaded?
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_language!
  0.02      0.00     0.00     0.00     0.00        3  Fixnum#+
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#consider_all_requests_local
  0.02      0.00     0.00     0.00     0.00        2  String#upcase
  0.02      0.00     0.00     0.00     0.00        2  String#strip
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Response#etag?
  0.02      0.00     0.00     0.00     0.00        1  Exception#initialize
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#protected_instance_variables
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#rescue_templates
  0.02      0.00     0.00     0.00     0.00        1  ActionController::UrlRewriter#initialize
  0.02      0.00     0.00     0.00     0.00        3  Fixnum#<
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#master_helper_module
  0.02      0.00     0.00     0.00     0.00        1  Symbol#to_sym
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#connection_handler
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint::ErrorWrapper#initialize
  0.02      0.00     0.00     0.00     0.00        2  Kernel#initialize_copy
  0.02      0.00     0.00     0.00     0.00        1  Array#initialize
  0.02      0.00     0.00     0.00     0.00        1  String#<=>
  0.02      0.00     0.00     0.00     0.00        1  <Class::Time>#allocate
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#initialize
  0.02      0.00     0.00     0.00     0.00        1  String#initialize_copy
  0.02      0.00     0.00     0.00     0.00        1  Time#initialize
  0.02      0.00     0.00     0.00     0.00        2  Kernel#=~
  0.02      0.00     0.00     0.00     0.00        1  NilClass#to_a
  0.02      0.00     0.00     0.00     0.00        1  FalseClass#to_s
  0.02      0.00     0.00     0.00     0.00        2  Module#extended
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#default_charset
  0.02      0.00     0.00     0.00     0.00        1  Kernel#nil?
  0.02      0.00     0.00     0.00     0.00        1  StringIO#length
  0.02      0.00     0.00     0.00     0.00        1  Array#+
  0.02      0.00     0.00     0.00     0.00        3  TrueClass#to_s
  0.02      0.00     0.00     0.00     0.00        1  Enumerable#all?
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#relative_url_root
  0.02      0.00     0.00     0.00     0.00        1  <Class::Array>#allocate
  0.02      0.00     0.00     0.00     0.00        1  Kernel#===
  0.02      0.00     0.00     0.00     0.00        1  <Class::Regexp>#quote
  0.02      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#logger
  0.02      0.00     0.00     0.00     0.00        1  Comparable#>=
