Thread ID: 2221388780
Total: 8968.000000

 %self     total     self     wait    child    calls  name
  0.01      1.00     1.00     0.00     0.00        1  FalseClass#to_s
  0.01      2.00     1.00     0.00     1.00        1  <Class::ActionController::Base>#master_helper_module
  0.01      1.00     1.00     0.00     0.00        1  Kernel#lambda
  0.01      1.00     1.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#clear_last_instantiation!
  0.01      2.00     1.00     0.00     1.00        1  ActionController::Integration::Session#encode_cookies
  0.01      1.00     1.00     0.00     0.00        1  Regexp#to_s
  0.01      1.00     1.00     0.00     0.00        1  Rack::Request#content_length
  0.01      1.00     1.00     0.00     0.00        1  ActionView::Template#path_without_format_and_extension
  0.01      2.00     1.00     0.00     1.00        1  <Class::ActionController::Base>#rescue_handlers
  0.01     28.00     1.00     0.00    27.00        1  Rack::Lint#check_error
  0.01     32.00     1.00     0.00    31.00        1  Rack::Utils::HeaderHash#to_hash
  0.01      1.00     1.00     0.00     0.00        1  ActionController::UrlRewriter#initialize
  0.01     16.00     1.00     0.00    15.00        1  ActionView::Base#initialize_without_template_tracking
  0.01     10.00     1.00     0.00     9.00        3  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.01      3.00     1.00     0.00     2.00        1  Array#inspect
  0.01    354.00     1.00     0.00   353.00        1  Rack::Lint#each
  0.01      1.00     1.00     0.00     0.00        3  StringIO#initialize
  0.01      2.00     1.00     0.00     1.00        1  ActionController::Response#default_charset
  0.01   7397.00     1.00     0.00  7396.00        1  ActionController::Failsafe#call


