Thread ID: 2221388780
Total: 1058.715820

 %self     total     self     wait    child    calls  name
1701532948111008.25      0.00 18014398509480926.00     0.00  1058.72        1  ActiveSupport::Testing::Performance::Profiler#run
  0.04      3.90     0.45     0.00     3.44        1  ActionController::Request#template_format
  0.04      3.57     0.45     0.00     3.12        1  ActionController::Request#form_data?
  0.04      3.08     0.45     0.00     2.63        3  ActionController::Request#query_string
  0.04      2.93     0.45     0.00     2.48        1  ActionController::Request#remote_ip
  0.04      0.67     0.45     0.00     0.22        1  ActionController::Request#request_uri
  0.04      2.74     0.45     0.00     2.29        1  ActionController::Rescue#template_path_for_local_rescue
  0.04    224.87     0.45     0.00   224.42        1  ActionController::Rescue#log_error
  0.04      1.62     0.45     0.00     1.17        1  ActionController::Rescue#response_code_for_rescue
  0.04     28.00     0.45     0.00    27.55        1  ActionController::Base#send_response
  0.04     29.99     0.45     0.00    29.54        1  ActionController::Base#log_processing
  0.04      0.45     0.45     0.00     0.00        1  ActionController::Base#process_cleanup
  0.04      3.69     0.45     0.00     3.24        1  ActionController::Base#render_for_text
  0.04      0.45     0.45     0.00     0.00        1  ActionController::Base#performed?
  0.04      0.45     0.45     0.00     0.00        1  ActionView::Template::EagerPath#load!
  0.04      0.66     0.44     0.00     0.22        1  <Class::ActionView::PathSet>#type_cast
  0.04      6.74     0.44     0.00     6.30        1  ActionView::PathSet#load!
  0.04      2.05     0.44     0.00     1.61        1  ActionView::PathSet#initialize
  0.04      3.44     0.44     0.00     3.00        1  <Class::ActionView::Base>#process_view_paths
  0.04      3.56     0.44     0.00     3.12        1  ActionView::Base#_copy_ivars_from_controller
  0.04      3.50     0.44     0.00     3.06        1  ActionView::Base::ProxyModule#include
  0.04      0.44     0.44     0.00     0.00        1  <Class::Time>#allocate
  0.04      1.01     0.43     0.00     0.58        1  Module#append_features
  0.04      0.43     0.43     0.00     0.00        1  <Module::Rails>#backtrace_cleaner
  0.04      1.64     0.42     0.00     1.22        1  ERB::Util#h
  0.04      6.03     0.41     0.00     5.62        1  Array#select
  0.04   1058.36     0.39     0.00  1057.96        1  BrowsingTest#test_homepage
  0.04      0.39     0.39     0.00     0.00        1  <Class::Regexp>#quote
  0.04      1.08     0.38     0.00     0.70        1  ActionController::Response#default_charset
  0.04      5.86     0.38     0.00     5.48        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.04      0.38     0.38     0.00     0.00        1  Time#strftime
  0.04      0.38     0.38     0.00     0.00        1  Array#+
  0.04      0.37     0.37     0.00     0.00        3  TrueClass#to_s
  0.04      0.37     0.37     0.00     0.00        2  Symbol#inspect
  0.03      0.37     0.37     0.00     0.00        1  Array#reverse
  0.03      0.37     0.37     0.00     0.00        1  NilClass#to_a
  0.03      9.32     0.37     0.00     8.95        1  Array#reverse_each
  0.03      1.55     0.37     0.00     1.18        1  <Class::ActionController::Base>#master_helper_module
  0.03      1.61     0.37     0.00     1.24        1  ActionController::Base#rescue_handlers
  0.03      0.94     0.37     0.00     0.58        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.03      0.80     0.37     0.00     0.44        1  <Class::ActionController::Dispatcher>#after_dispatch_callback_chain
  0.03      1.02     0.37     0.00     0.66        1  <Class::ActionController::Base>#rescue_handlers
  0.03      0.37     0.37     0.00     0.00        1  FalseClass#to_s
  0.03      0.36     0.36     0.00     0.00        1  String#initialize_copy
  0.03      0.36     0.36     0.00     0.00        1  Fixnum#zero?
  0.03      0.36     0.36     0.00     0.00        2  Module#<
  0.03      0.36     0.36     0.00     0.00        1  Array#shift
  0.03      0.36     0.36     0.00     0.00        1  Module#blankslate_original_append_features
  0.03      0.80     0.36     0.00     0.44        1  Class#new_without_capture
  0.03      0.36     0.36     0.00     0.00        1  Time#initialize
  0.03      0.36     0.36     0.00     0.00        1  Module#included
